,Relax,Stress,Valence,Arousal
j1u8_Stroop,9.0,2.0,10.0,10.0
j1u8_Math,9.0,2.0,10.0,10.0
j1u8_Speaking,9.0,2.0,10.0,10.0
j1u8_Reading,9.0,2.0,10.0,10.0
j1u8_Counting3,9.0,2.0,10.0,10.0
j1u8_Relax,8.0,3.0,10.0,10.0
m8g5_Breathing,9.0,1.0,9.0,8.0
m8g5_Video1,10.0,0.0,10.0,9.0
m8g5_Video2,5.0,4.0,6.0,8.0
m8g5_Counting1,4.0,6.0,6.0,6.0
m8g5_Counting2,1.0,8.0,3.0,6.0
m8g5_Stroop,3.0,7.0,5.0,6.0
m8g5_Math,7.0,2.0,6.0,7.0
m8g5_Speaking,6.0,4.0,5.0,6.0
m8g5_Reading,2.0,7.0,6.0,5.0
m8g5_Counting3,4.0,5.0,5.0,6.0
m8g5_Relax,8.0,3.0,7.0,9.0
p9i3_Breathing,7.0,3.0,5.0,7.0
p9i3_Video1,7.0,1.0,8.0,8.0
p9i3_Video2,3.0,8.0,2.0,8.0
p9i3_Counting1,4.0,7.0,4.0,9.0
p9i3_Counting2,4.0,4.0,5.0,7.0
p9i3_Stroop,4.0,5.0,6.0,7.0
p9i3_Math,4.0,5.0,6.0,8.0
p9i3_Speaking,3.0,5.0,5.0,7.0
p9i3_Reading,7.0,2.0,8.0,8.0
p9i3_Counting3,4.0,6.0,6.0,8.0
p9i3_Relax,9.0,1.0,8.0,9.0
g9j5_Breathing,6.0,7.0,5.0,3.0
g9j5_Video1,6.0,7.0,6.0,2.0
g9j5_Video2,6.0,6.0,6.0,2.0
g9j5_Counting1,6.0,6.0,5.0,2.0
g9j5_Counting2,5.0,6.0,5.0,2.0
g9j5_Stroop,6.0,6.0,6.0,3.0
g9j5_Math,6.0,6.0,6.0,3.0
g9j5_Speaking,7.0,5.0,6.0,3.0
g9j5_Reading,7.0,5.0,6.0,4.0
g9j5_Counting3,6.0,4.0,6.0,4.0
g9j5_Relax,7.0,4.0,6.0,3.0
h7j3_Breathing,7.0,2.0,5.0,6.0
h7j3_Video1,9.0,1.0,8.0,8.0
h7j3_Video2,8.0,1.0,7.0,8.0
h7j3_Counting1,7.0,2.0,5.0,7.0
h7j3_Counting2,8.0,1.0,6.0,8.0
h7j3_Stroop,6.0,2.0,7.0,7.0
h7j3_Math,8.0,2.0,7.0,8.0
h7j3_Speaking,6.0,3.0,6.0,7.0
h7j3_Reading,8.0,2.0,7.0,8.0
h7j3_Counting3,8.0,2.0,7.0,8.0
h7j3_Relax,9.0,2.0,7.0,7.0
y8c3_Breathing,9.0,1.0,5.0,7.0
y8c3_Video1,8.0,0.0,6.0,7.0
y8c3_Video2,8.0,0.0,6.0,7.0
y8c3_Counting1,8.0,0.0,6.0,6.0
y8c3_Counting2,6.0,3.0,5.0,6.0
y8c3_Stroop,8.0,1.0,6.0,5.0
y8c3_Math,7.0,3.0,6.0,5.0
y8c3_Speaking,7.0,1.0,5.0,6.0
y8c3_Reading,8.0,2.0,6.0,5.0
y8c3_Counting3,7.0,2.0,6.0,5.0
y8c3_Relax,9.0,0.0,6.0,4.0
g7r2_Breathing,8.0,0.0,7.0,5.0
g7r2_Video1,8.0,0.0,8.0,6.0
g7r2_Video2,7.0,1.0,5.0,6.0
g7r2_Counting1,3.0,5.0,6.0,8.0
g7r2_Counting2,1.0,5.0,5.0,9.0
g7r2_Stroop,0.0,7.0,3.0,6.0
g7r2_Math,6.0,1.0,5.0,5.0
g7r2_Speaking,4.0,3.0,5.0,7.0
g7r2_Reading,7.0,0.0,5.0,3.0
g7r2_Counting3,2.0,3.0,4.0,4.0
g7r2_Relax,8.0,0.0,5.0,2.0
f6q3_Breathing,9.0,1.0,7.0,1.0
f6q3_Video1,9.0,0.0,8.0,1.0
f6q3_Video2,9.0,0.0,8.0,1.0
f6q3_Counting1,10.0,1.0,5.0,1.0
f6q3_Counting2,9.0,1.0,5.0,1.0
f6q3_Stroop,6.0,2.0,5.0,3.0
f6q3_Math,5.0,3.0,5.0,3.0
f6q3_Speaking,8.0,1.0,5.0,2.0
f6q3_Reading,8.0,3.0,4.0,3.0
f6q3_Counting3,8.0,3.0,5.0,3.0
f6q3_Relax,9.0,1.0,8.0,1.0
e5p4_Breathing,10.0,3.0,8.0,3.0
e5p4_Video1,8.0,3.0,9.0,3.0
e5p4_Video2,9.0,3.0,8.0,4.0
e5p4_Counting1,8.0,2.0,8.0,5.0
e5p4_Counting2,9.0,2.0,9.0,5.0
e5p4_Stroop,9.0,2.0,8.0,4.0
e5p4_Math,7.0,2.0,7.0,5.0
e5p4_Speaking,7.0,2.0,8.0,4.0
e5p4_Reading,8.0,2.0,8.0,4.0
e5p4_Counting3,7.0,2.0,8.0,5.0
e5p4_Relax,8.0,2.0,7.0,3.0
d4n6_Breathing,5.0,2.0,5.0,4.0
d4n6_Video1,2.0,0.0,7.0,4.0
d4n6_Video2,3.0,7.0,5.0,7.0
d4n6_Counting1,1.0,8.0,5.0,8.0
d4n6_Counting2,7.0,5.0,5.0,6.0
d4n6_Stroop,3.0,6.0,5.0,4.0
d4n6_Math,3.0,8.0,5.0,6.0
d4n6_Speaking,4.0,7.0,5.0,4.0
d4n6_Reading,4.0,6.0,5.0,4.0
d4n6_Counting3,4.0,5.0,5.0,6.0
d4n6_Relax,5.0,3.0,5.0,3.0
c3m7_Breathing,4.0,6.0,8.0,7.0
c3m7_Video1,2.0,7.0,8.0,8.0
c3m7_Video2,7.0,4.0,7.0,7.0
c3m7_Counting1,2.0,9.0,7.0,7.0
c3m7_Counting2,2.0,8.0,7.0,7.0
c3m7_Stroop,4.0,7.0,8.0,8.0
c3m7_Math,2.0,8.0,6.0,6.0
c3m7_Speaking,1.0,9.0,6.0,7.0
c3m7_Reading,2.0,7.0,6.0,6.0
c3m7_Counting3,2.0,7.0,6.0,5.0
c3m7_Relax,7.0,5.0,6.0,7.0
b2l8_Breathing,8.0,1.0,7.0,8.0
b2l8_Video1,2.0,1.0,7.0,8.0
b2l8_Video2,4.0,5.0,6.0,7.0
b2l8_Counting1,2.0,7.0,5.0,6.0
b2l8_Counting2,1.0,9.0,3.0,4.0
b2l8_Stroop,2.0,8.0,6.0,7.0
b2l8_Math,4.0,6.0,4.0,6.0
b2l8_Speaking,6.0,7.0,8.0,7.0
b2l8_Reading,4.0,5.0,6.0,6.0
b2l8_Counting3,4.0,7.0,7.0,6.0
b2l8_Relax,6.0,5.0,7.0,6.0
a1k9_Breathing,7.0,5.0,6.0,8.0
a1k9_Video1,7.0,5.0,7.0,8.0
a1k9_Video2,7.0,4.0,7.0,8.0
a1k9_Counting1,4.0,8.0,5.0,7.0
a1k9_Counting2,2.0,8.0,3.0,6.0
a1k9_Stroop,2.0,8.0,5.0,7.0
a1k9_Math,3.0,8.0,5.0,6.0
a1k9_Speaking,3.0,7.0,7.0,7.0
a1k9_Reading,4.0,7.0,7.0,7.0
a1k9_Counting3,7.0,6.0,7.0,7.0
a1k9_Relax,8.0,3.0,8.0,5.0
t6v9_Breathing,5.0,5.0,6.0,3.0
t6v9_Video1,7.0,2.0,7.0,6.0
t6v9_Video2,6.0,3.0,4.0,7.0
t6v9_Counting1,2.0,7.0,3.0,10.0
t6v9_Counting2,2.0,4.0,3.0,8.0
t6v9_Stroop,0.0,5.0,5.0,7.0
t6v9_Math,2.0,7.0,4.0,7.0
t6v9_Speaking,3.0,6.0,5.0,7.0
t6v9_Reading,3.0,5.0,5.0,6.0
t6v9_Counting3,7.0,1.0,7.0,8.0
t6v9_Relax,3.0,3.0,5.0,0.0
b9w0_Breathing,8.0,2.0,7.0,8.0
b9w0_Video1,5.0,2.0,5.0,7.0
b9w0_Video2,4.0,3.0,5.0,7.0
b9w0_Counting1,3.0,4.0,5.0,9.0
b9w0_Counting2,1.0,6.0,3.0,9.0
b9w0_Stroop,3.0,6.0,4.0,9.0
b9w0_Math,3.0,6.0,5.0,9.0
b9w0_Speaking,2.0,7.0,4.0,9.0
b9w0_Reading,2.0,6.0,5.0,5.0
b9w0_Counting3,1.0,7.0,5.0,8.0
b9w0_Relax,2.0,5.0,5.0,4.0
